Día,Temperatura Minima [C],Temperatura Maxima [C],Temperatura media [C]
1,8,23,15.5
2,10,25,17.5
3,12,27,19.5
4,13,27,20
5,13,24,18.5
6,13,26,19.5
7,10,25,17.5
8,12,26,19
9,14,26,20
10,12,25,18.5
11,13,24,18.5
12,13,26,19.5
13,12,25,18.5
14,12,27,19.5
15,13,27,20
16,14,28,21
17,15,29,22
18,13,30,21.5
19,15,25,20
20,12,24,18
21,13,27,20
22,14,25,19.5
23,13,26,19.5
24,14,29,21.5
25,14,29,21.5
26,15,29,22
27,13,29,21
28,14,31,22.5
29,13,32,22.5
30,13,31,22
