Día,Temperatura Minima [C],Temperatura Maxima [C],Temperatura media [C]
1,3,19,11
2,5,20,12.5
3,6,23,14.5
4,9,23,16
5,10,19,14.5
6,6,22,14
7,4,24,14
8,5,25,15
9,6,26,16
10,7,27,17
11,9,27,18
12,8,27,17.5
13,9,27,18
14,10,28,19
15,10,26,18
16,11,27,19
17,10,27,18.5
18,9,29,19
19,10,29,19.5
20,9,29,19
21,9,28,18.5
22,6,15,10.5
23,2,21,11.5
24,1,22,11.5
25,5,24,14.5
26,8,26,17
27,9,26,17.5
28,9,26,17.5
