Día,Temperatura Minima [C],Temperatura Maxima [C],Temperatura media [C]
1,7,21,14
2,6,23,14.5
3,7,24,15.5
4,7,23,15
5,7,24,15.5
6,7,24,15.5
7,6,25,15.5
8,6,25,15.5
9,5,24,14.5
10,8,22,15
11,6,18,12
12,3,21,12
13,6,21,13.5
14,10,21,15.5
15,9,17,13
16,6,21,13.5
17,11,20,15.5
18,12,21,16.5
19,9,21,15
20,10,22,16
21,8,19,13.5
22,6,22,14
23,9,23,16
24,6,23,14.5
25,10,24,17
26,9,25,17
27,4,23,13.5
28,9,23,16
29,6,25,15.5
30,8,25,16.5
31,7,16,11.5
